Position	43ae985c-ff38-4640-8fe3-10fe00c6b322.rna_seq.genomic.gdc_realn.bam
chr2:47791132-47791244	
chr2:47481949-47482059	0
chr2:47452896-47453013	0
chr2:47335449-47335561	
chr2:47335412-47335522	
chr2:47042453-47042564	
chr2:47038208-47038324	
chr2:47017928-47018038	
chr2:46624931-46625049	
chr2:46385137-46385250	
chr2:46297511-46297621	
chr2:45716640-45716783	
chr2:44321225-44321335	
chr2:44169046-44169163	
chr2:43888320-43888431	1
chr2:43224055-43224166	1
chr2:43223941-43224057	1
chr2:42709122-42709238	
chr2:42350011-42350130	
chr2:42330569-42330685	
chr2:40112608-40112722	
chr2:40112288-40112398	
chr2:39494717-39494834	
chr2:39486882-39487003	
chr2:39482118-39482249	
chr2:39475043-39475157	
chr2:39474620-39474731	
chr2:39313454-39313565	
chr2:38985372-38985483	
chr2:38797851-38797963	
chr2:38743848-38743961	0
chr2:38734640-38734756	
chr2:38697900-38698012	0
chr2:38294952-38295062	
chr2:38294590-38294703	
chr2:37992082-37992192	
chr2:37666763-37666877	
chr2:37644573-37644690	
chr2:37643923-37644044	
chr2:37251830-37251941	
chr2:37251566-37251678	
chr2:37203412-37203522	0
chr2:37202189-37202303	0
chr2:37106518-37106634	
chr2:37104648-37104761	
chr2:37102953-37103075	
chr2:37100086-37100196	
chr2:37031384-37031501	
chr2:36847331-36847449	
chr2:36558474-36558585	
chr2:36550848-36550959	
chr2:36550184-36550302	
chr2:36549991-36550117	
chr2:36549423-36549535	
chr2:33562859-33562974	
chr2:32754097-32754212	
chr2:32618626-32618736	
chr2:32618178-32618288	0
chr2:32607158-32607268	0
chr2:32523993-32524107	
chr2:32308980-32309100	
chr2:32217005-32217120	
chr2:32216529-32216641	
chr2:32140893-32141012	
chr2:31990364-31990476	
chr2:31931500-31931611	
chr2:30642350-30642469	
chr2:30259911-30260022	
chr2:30259766-30259879	
chr2:30257740-30257853	
chr2:30159186-30159296	0
chr2:30158930-30159050	0
chr2:28947814-28947939	
chr2:28801382-28801496	1
chr2:28801003-28801113	0
chr2:28416899-28417020	
chr2:28416414-28416531	
chr2:28392895-28393016	
chr2:27344431-27344544	
chr2:27156275-27156391	
chr2:27064249-27064365	
chr2:26783595-26783710	
chr2:26778892-26779005	
chr2:26394596-26394707	
chr2:25799384-25799499	
chr2:25739319-25739433	
chr2:24828972-24829084	
chr2:24826697-24826811	
chr2:24335592-24335705	
chr2:24264647-24264774	
chr2:24236623-24236736	
chr2:20752925-20753049	
chr2:20449122-20449234	0
chr2:20202047-20202164	0
chr2:17728497-17728608	
chr2:16550254-16550367	
chr2:15517486-15517601	
chr2:12742559-12742669	
chr2:12742474-12742588	
chr2:11182932-11183044	
chr2:11181581-11181701	
chr2:11181131-11181260	
chr2:10129367-10129477	0
chr2:9849391-9849502	
chr2:9499063-9499181	
chr2:9467641-9467751	0
chr2:9404687-9404801	
chr2:8858595-8858707	
chr2:8856507-8856620	
chr2:8852685-8852795	
chr2:8683761-8683871	0
chr2:7043369-7043480	
chr2:3545034-3545152	
chr2:3543569-3543681	
chr2:279868-279978	
chr1:247316166-247316287	
chr1:246667074-246667184	
chr1:244854112-244854226	0
chr1:244850928-244851039	
chr1:244845025-244845136	
chr1:244844714-244844829	
chr1:244705889-244706001	
chr1:244409280-244409390	0
chr1:244408584-244408694	
chr1:244057044-244057160	
chr1:244056877-244056987	
chr1:244055681-244055792	
chr1:243797121-243797231	
chr1:243504586-243504705	
chr1:243503051-243503161	
chr1:243500252-243500366	
chr1:243124829-243124940	
chr1:240531664-240531777	
chr1:239634326-239634455	
chr1:236897595-236897710	
chr1:236601204-236601316	
chr1:236550942-236551060	0
chr1:236208688-236208798	
chr1:236195173-236195286	
chr1:235380111-235380264	
chr1:235152723-235152834	
chr1:235111662-235111774	0
chr1:234609494-234609607	
chr1:234606408-234606521	0
chr1:233671871-233671982	0
chr1:233657664-233657779	0
chr1:232398507-232398621	
chr1:231396199-231396312	0
chr1:231366450-231366562	0
chr1:231019125-231019238	
chr1:230929272-230929384	
chr1:230838478-230838588	
chr1:230692725-230692837	0
chr1:229339045-229339159	
chr1:227919636-227919773	
chr1:227317461-227317578	
chr1:227207261-227207371	
chr1:226875443-226875553	
chr1:226736857-226736967	
chr1:226648725-226648840	
chr1:226632467-226632577	
chr1:226145784-226145909	0
chr1:226145106-226145216	0
chr1:226144941-226145051	0
chr1:226071461-226071578	0
chr1:225984203-225984313	
chr1:225487892-225488002	
chr1:225403135-225403245	
chr1:224434521-224434631	
chr1:224434154-224434278	
chr1:224434020-224434138	
chr1:224281234-224281363	
chr1:224158121-224158231	
chr1:223630453-223630565	
chr1:223621193-223621310	
chr1:223617280-223617399	
chr1:222959752-222959865	
chr1:222750755-222750869	
chr1:222733026-222733147	
chr1:222668132-222668242	
chr1:220769690-220769805	
chr1:220213919-220214029	
chr1:220150401-220150521	
chr1:220150056-220150172	
chr1:220058484-220058596	0
chr1:220016363-220016473	
chr1:216703609-216703734	
chr1:216505403-216505514	
chr1:214355909-214356027	
chr1:214349771-214349881	
chr1:213261318-213261429	
chr1:213007815-213007930	
chr1:212737974-212738088	
chr1:212051453-212051565	0
chr1:211801736-211801851	
chr1:211396736-211396846	
chr1:211366916-211367049	
chr1:211314284-211314394	
chr1:211308666-211308779	
chr1:211259406-211259523	
chr1:210243043-210243165	
chr1:210233971-210234081	
chr1:209846975-209847086	
chr1:209787008-209787118	0
chr1:209676272-209676384	
chr1:209652903-209653013	
chr1:208175560-208175671	
chr1:208026602-208026719	
chr1:207801755-207801866	
chr1:207334703-207334815	0
chr1:207076202-207076318	
chr1:207045547-207045662	
chr1:207017351-207017462	
chr1:206904247-206904365	
chr1:206733230-206733356	0
chr1:206461850-206461979	
chr1:206409753-206409865	
chr1:206082467-206082582	
chr1:206055427-206055537	0
chr1:206054076-206054190	0
chr1:205768487-205768599	
chr1:205718187-205718298	0
chr1:205718053-205718168	0
chr1:205717446-205717561	
chr1:205714448-205714558	1
chr1:205620797-205620907	
chr1:205613023-205613136	
chr1:205610725-205610845	
chr1:205608519-205608629	
chr1:205608231-205608341	
chr1:205512002-205512115	
chr1:204557854-204557981	
chr1:204555876-204555987	
chr1:204550514-204550629	
chr1:204423397-204423514	
chr1:204405941-204406052	
chr1:204404434-204404544	
chr1:204222004-204222117	
chr1:204220844-204220957	
chr1:203802575-203802685	
chr1:203801767-203801881	
chr1:203776300-203776424	
chr1:203775342-203775453	
chr1:203769394-203769506	
chr1:203740391-203740509	
chr1:203687252-203687369	
chr1:203024436-203024549	
chr1:202940931-202941043	0
chr1:202892033-202892146	
chr1:202891920-202892030	
chr1:202728379-202728497	0
chr1:202555413-202555533	
chr1:202016566-202016676	0
chr1:202016470-202016585	0
chr1:202008682-202008795	
chr1:201876704-201876819	
chr1:201820463-201820575	
chr1:201386833-201386943	0
chr1:200913709-200913819	
chr1:200658337-200658449	
chr1:197084381-197084496	
chr1:193251794-193251906	
chr1:193089757-193089874	
chr1:193084816-193084928	
chr1:186419501-186419613	
chr1:185100852-185100963	
chr1:185100493-185100604	
chr1:184793954-184794064	
chr1:184791909-184792024	
chr1:184791440-184791556	
chr1:184748398-184748509	
chr1:184692802-184692912	
chr1:184691571-184691685	
chr1:184690751-184690861	
chr1:184387230-184387340	
chr1:183927499-183927609	
chr1:183552342-183552454	0
chr1:183140195-183140315	0
chr1:183135155-183135266	0
chr1:180975036-180975154	
chr1:179919215-179919327	
chr1:179842152-179842265	
chr1:179534858-179534973	
chr1:179075741-179075858	
chr1:179073273-179073383	
chr1:179072507-179072619	
chr1:178783288-178783398	
chr1:175160738-175160868	
chr1:174991724-174991843	
chr1:174942533-174942643	
chr1:174903905-174904023	
chr1:174840788-174840900	
chr1:174384477-174384588	
chr1:173838364-173838474	
chr1:173785697-173785809	
chr1:173720279-173720391	
chr1:172399874-172399987	
chr1:171700931-171701041	
chr1:171592658-171592769	0
chr1:171589258-171589380	0
chr1:171541959-171542069	
chr1:169921865-169921975	0
chr1:169850930-169851056	
chr1:169132892-169133005	0
chr1:169131969-169132091	1
chr1:168695484-168695594	
chr1:168251641-168251753	
chr1:168251274-168251385	
chr1:168244803-168244916	
chr1:168244124-168244239	
chr1:168243252-168243362	
chr1:168201871-168201983	
chr1:168201765-168201875	
chr1:168201720-168201856	0
chr1:168201565-168201690	
chr1:168200558-168200670	
chr1:168111914-168112027	
chr1:168085217-168085327	
chr1:167788829-167788945	0
chr1:167506239-167506354	
chr1:167416037-167416156	
chr1:167415935-167416047	
chr1:167383971-167384081	
chr1:167053817-167053929	
chr1:166839646-166839765	
chr1:165907907-165908017	0
chr1:165727556-165727667	0
chr1:164850417-164850528	
chr1:164850290-164850407	
chr1:164716635-164716780	
chr1:164712127-164712244	
chr1:164658116-164658231	
chr1:164602659-164602775	
chr1:163146190-163146307	
chr1:163143943-163144053	
chr1:163075052-163075180	
chr1:162780405-162780515	
chr1:162585208-162585321	0
chr1:162529207-162529317	0
chr1:162526225-162526339	
chr1:161962075-161962186	
chr1:161961521-161961638	
chr1:161960038-161960153	
chr1:161959619-161959744	
chr1:161518568-161518680	
chr1:161214219-161214350	0
chr1:161190660-161190770	
chr1:161190487-161190600	
chr1:161121974-161122091	
chr1:160997919-160998030	0
chr1:160995697-160995823	
chr1:160426099-160426209	
chr1:160289544-160289658	0
chr1:160277149-160277262	
chr1:159976956-159977069	
chr1:159976862-159977011	
chr1:159202062-159202175	
chr1:157532175-157532285	
chr1:157529545-157529666	
chr1:157045028-157045139	
chr1:157044969-157045081	
chr1:157007863-157007977	
chr1:156934917-156935032	
chr1:156800710-156800822	0
chr1:156722555-156722670	
chr1:156595238-156595351	0
chr1:156465631-156465748	
chr1:156338190-156338300	0
chr1:156292326-156292472	
chr1:156211006-156211151	
chr1:156158064-156158174	
chr1:156139538-156139655	0
chr1:156139253-156139367	0
chr1:155946833-155946943	
chr1:155914991-155915107	
chr1:155907062-155907181	
chr1:155899594-155899705	
chr1:155881993-155882105	
chr1:155815935-155816047	
chr1:155763393-155763503	
chr1:155547673-155547784	
chr1:155138438-155138549	0
chr1:155068994-155069105	0
chr1:154944466-154944577	0
chr1:154714143-154714253	
chr1:154707375-154707490	
chr1:154699835-154699946	
chr1:154558564-154558698	
chr1:154467386-154467496	
chr1:154351072-154351187	
chr1:154350029-154350140	
chr1:154336433-154336551	
chr1:154270720-154270836	0
chr1:153967618-153967728	
chr1:153855185-153855299	
chr1:153806563-153806676	
chr1:153773958-153774068	0
chr1:153728647-153728760	
chr1:153678743-153678866	
chr1:153661510-153661620	0
chr1:153606523-153606642	
chr1:153543636-153543746	1
chr1:151893376-151893495	
chr1:151874323-151874443	
chr1:151696903-151697015	
chr1:151696601-151696719	
chr1:151696495-151696608	
chr1:151582888-151583001	
chr1:151537440-151537552	0
chr1:151528369-151528479	0
chr1:151442660-151442779	
chr1:151404482-151404595	
chr1:151319243-151319357	
chr1:151248341-151248452	
chr1:150993583-150993701	
chr1:150931606-150931721	
chr1:150876545-150876656	
chr1:150810582-150810700	
chr1:150647445-150647560	1
chr1:150565759-150565879	
chr1:150555669-150555782	
chr1:150491004-150491114	
chr1:150473381-150473491	0
chr1:150422124-150422241	
chr1:150417438-150417548	
chr1:150347225-150347340	0
chr1:150344713-150344824	0
chr1:150226669-150226780	0
chr1:150222960-150223070	0
chr1:150220156-150220275	
chr1:149942791-149942901	
chr1:149929043-149929159	
chr1:149850414-149850524	
chr1:149833187-149833312	
chr1:149227486-149227610	
chr1:148751992-148752110	
chr1:148102650-148102760	
chr1:147295687-147295797	
chr1:147262681-147262792	
chr1:147184925-147185037	
chr1:147158521-147158631	
chr1:146301209-146301327	1
chr1:146065299-146065409	
chr1:145935134-145935248	
chr1:145933756-145933866	
chr1:145923246-145923357	0
chr1:145922876-145922990	
chr1:145823458-145823569	
chr1:145822263-145822376	
chr1:145774250-145774364	
chr1:145746354-145746468	
chr1:145745409-145745525	
chr1:143981463-143981573	
chr1:119748423-119748535	
chr1:117959414-117959525	0
chr1:117627815-117627925	
chr1:117625055-117625167	
chr1:117624114-117624230	
chr1:117410573-117410685	
chr1:117082159-117082270	
chr1:116987521-116987640	0
chr1:116957101-116957226	0
chr1:115700173-115700286	
chr1:114717324-114717434	0
chr1:114707634-114707744	
chr1:114397557-114397670	
chr1:113977185-113977299	0
chr1:113880861-113880982	
chr1:113880574-113880687	
chr1:113877272-113877388	
chr1:113768877-113768992	
chr1:113761826-113761937	
chr1:113712734-113712854	0
chr1:113684551-113684661	
